player,date,game_num,score
kell,2022-03-12 16:03:45,266,3
michael,2022-03-11 11:43:05,265,X
jose,2022-03-11 07:56:24,265,4
kell,2022-03-11 07:50:06,265,X
kell,2022-03-10 09:09:13,264,3
michael,2022-03-10 08:46:04,264,4
michael,2022-03-09 10:47:41,263,3
jose,2022-03-09 08:59:57,263,3
kell,2022-03-09 07:52:09,263,4
nick,2022-03-08 20:41:29,262,1
michael,2022-03-08 08:30:34,262,X
kell,2022-03-08 07:40:40,262,3
michael,2022-03-07 12:31:46,261,4
nick,2022-03-07 10:52:05,261,1
jose,2022-03-07 07:44:40,261,6
kell,2022-03-07 05:58:21,261,6
michael,2022-03-06 10:39:43,260,3
kell,2022-03-06 08:40:59,260,4
jose,2022-03-06 04:56:52,260,3
michael,2022-03-05 11:15:56,259,3
kell,2022-03-05 06:31:22,259,5
jose,2022-03-05 03:29:51,259,4
michael,2022-03-04 16:12:53,258,6
jose,2022-03-04 09:20:59,258,5
kell,2022-03-04 09:12:48,258,5
jose,2022-03-03 10:09:54,257,3
michael,2022-03-03 08:33:18,257,5
kell,2022-03-03 07:31:38,257,4
jose,2022-03-02 14:48:22,256,2
kell,2022-03-02 10:05:03,256,6
michael,2022-03-01 09:00:38,255,3
kell,2022-03-01 07:25:48,255,6
kell,2022-02-28 07:51:48,254,5
michael,2022-02-24 17:36:33,250,4
kell,2022-02-24 05:05:30,250,5
jose,2022-02-24 00:16:52,250,6
michael,2022-02-23 23:51:00,249,6
kell,2022-02-23 09:14:21,249,5
jose,2022-02-23 09:07:46,249,2
michael,2022-02-22 09:46:53,248,3
kell,2022-02-22 09:46:18,248,5
jose,2022-02-22 08:57:27,248,4
jose,2022-02-21 08:54:46,247,4
kell,2022-02-21 08:31:02,247,6
jose,2022-02-18 04:42:30,244,5
kell,2022-02-18 00:22:25,244,5
jose,2022-02-17 10:24:04,243,6
michael,2022-02-17 10:14:58,243,5
kell,2022-02-17 08:39:02,243,4
jose,2022-02-11 08:30:17,237,5
kell,2022-02-11 08:14:40,237,6
jose,2022-02-10 23:28:52,236,3
kell,2022-02-08 14:35:00,234,6
michael,2022-02-08 14:20:48,234,5
